GPCR,Spearman_rho,P_value,Significance
ADORA1,-0.22753024401139896,0.00015810666189443757,***
GPR21,0.18319219836675213,0.002466303185555096,**
HTR1B,0.17088825177726466,0.004788141147833297,**
P2RY2,-0.0932143120643448,0.12583296395918775,ns
OPRD1,-0.08553965947225921,0.1602514217635751,ns
ADRA1A,0.07584425011386632,0.2132876349609418,ns
OPRM1,-0.06812630794298163,0.2637312418748222,ns
HTR1A,-0.04248162533985072,0.4861672861681934,ns
HTR6,0.030386947053284787,0.6184593334243231,ns
HTR4,-0.024585195590907022,0.6870118375055223,ns
